naslov,podnaslov,placa,lokacija,opis,stevilo_mest,trajanje,delovnik,sifra,narava_dela 
GRAFIČNO OBLIKOVANJE,,"6,00 €/h neto",TRZIN,"Iščejo ambiciozno osebo, ki bo z njimi sokreirala uspešne digitalne zgodbe. Delo bo potekalo v mladem tim-u. Z oglasi so prisotni v preko 100 državah po celem svetu, kar pomeni, da bo tvoje ideje in zamisli videlo več milijonov ljudi mesečno! Ponujajo: stimulativno delovno okolje, delo v enem najhitreje rastočih podjetij na svojem področju, sodelovanje z mladim, kreativnim timom, fleksibilnost, kreativno svobodo.", 2 , DLJE ČASA (OBČASNO) , Dopoldan, 274623 , začasno in občasno delo
STREŽBA,,"5,50 €/h neto",GROSUPLJE,Potrebujejo komunikativno in prijazno osebo za delo v strežbi. Izkušnje so zaželene. Prijave sprejemajo na elektronski naslov ali preko telefona., 1 , DLJE ČASA (OBČASNO) , Izmensko, 274601 , začasno in občasno delo
STREŽBA,,"5,07 €/h neto",KRANJ,"Potrebujejo polnoletno osebo za strežbo. Delo bo potekalo 2-3x tedensko. Zaželene so izkušnje, komunikativnost in urejenost.", 10 , DLJE ČASA (OBČASNO) , Popoldan, 274519 , začasno in občasno delo
POUČEVANJE,,"9,75 €/h neto",LJUBLJANA - IN DRUGI KRAJI PO SLOVENIJI,"Zaradi močno povečanega povpraševanja v svoje učiteljske vrste vabijo kompetentne in usposobljene učitelje tujih jezikov za poučevanje na rednih jezikovnih tečajih in tečajih za podjetja. Imaš odlične veščine poučevanja, veselje do prenašanja znanja in srce za jezike? Pridruži se več kot 100 učiteljem v eni najbolj priljubljenih jezikovni šol.", 10 , DLJE ČASA (OBČASNO) , Po dogovoru, 274377 , začasno in občasno delo
POUČEVANJE,,"6,97 €/h neto",LJUBLJANA,"Iščejo učitelja angleščine za predšolske in osnovnošolske otroke v Ljubljani. Preferenca je pedagoška izobrazba z dodatnim programom učitelj angleščine ali študent višjega letnika anglistike. Pogoji: izkušnje s poučevanjem otrok, zanesljivost, komunikativnost. Predstavitev z opisom izkušenj pošljite na e-mail. V polje Zadeva pa napišite: Poučevanje angleškega jezika.", 1 , DLJE ČASA (OBČASNO) , Popoldan, 274336 , začasno in občasno delo
STREŽBA,,"5,50 €/h neto",DRAGOMER,Potrebujejo polnoletno osebo za samostojno delo v strežbi., 2 , DLJE ČASA (OBČASNO) , Izmensko, 274263 , začasno in občasno delo
STREŽBA,,"4,23 €/h neto",LJUBLJANA,"Strežba v kavarni. V mladem kolektivu iščejo resno, komunikativno in timsko osebo, z veseljem do dela  s strankami. Pogoj je starost nad 20 let. Urnik je zelo fleksibilen. Želijo resne in odgovorne kandidate. Možnost kasnejše redne zaposlitve.", 2 , DLJE ČASA (OBČASNO) , Po dogovoru, 274089 , začasno in občasno delo
FIZIČNA DELA,,"4,22 €/h neto",CERKLJE,"Izkušnje pri delu z živalmi v hlevu. Veselje do dela z živalmi. Odgovornost za pravilno, natančno in ažurno opravljanje del. Sposobnost dela v kolektivu. Delo obsega: pomoč pri molži krav, krmljenju telet, čiščenju molznih naprav in čiščenju prostorov. Zaželen lastni prevoz. Delovni čas je dopoldan, s pričetkom ob 5. uri ter popoldan, s pričetkom ob 15. uri. Pogoj je starost nad 18 let.", 2 , PO DOGOVORU , Izmensko, 274041 , začasno in občasno delo
STREŽBA,,"5,07 €/h neto",DOBROVA,"Iščejo študenta/študentko za delo v strežbi v teniškem centru na obrobju Ljubljane. Od končne postaje 14 so oddaljeni cca. 600 m, zato je priporočljiv lasten prevoz. Pogoj: starost nad 18 let. Zaželene so izkušnje, niso pa pogoj.", 1 , DLJE ČASA (OBČASNO) , Po dogovoru, 273768 , začasno in občasno delo
POMOČ V TRGOVINI,,"5,07 €/h neto",ŠENČUR,"Iščejo polnoletno osebo za delo na blagajni in polnjenje polic. Plačilo: med tednom 6 €/h bruto, ob nedeljah pa 7 €/h bruto.", 1 , PO DOGOVORU , Izmensko, 273724 , začasno in občasno delo
STREŽBA,," 5,60 - 7,50 € BRUTO/H.",SEVNICA,Podjetje išče osebo za pomoč v strežbi v mladem kolektivu. Pogoj je starost nad 18 let. Možnost nastanitve. Izkušnje niso pogoj. Delovni čas je prilagojen šolskim obveznostim., 1 , DLJE ČASA (OBČASNO) , Po dogovoru, 273468 , začasno in občasno delo
DELO V KUHINJI,PICOPEK,"5,07 €/h neto",KRANJ,"Podjetje potrebuje polnoletno osebo za delo PICOPEKA. Pogoj: dovolj časa za delo (absolvent/ka, izredni dijak/inja ali študent/ka). Kličite med 9. in 14. uro.", 1 , DLJE ČASA (OBČASNO) , Popoldan, 273457 , začasno in občasno delo
DELO V PROIZVODNJI,,"4,22 €/h neto",TREBNJE,"Podjetje išče polnoletne kandidate strojne smeri za delo v proizvodnji (proizvodnja kovinskih izdelkov). Delo na strojih za preoblikovanje pločevine, razrez materiala, štancanje, krivljenje, vrezovanje navojev, čiščenje, pakiranje. Pogoji: marljivost, ročne spretnosti, vestnost. Če se kandidat izkaže, je možno tudi napredovanje in usposabljanje znotraj podjetja za delo (operativa in programiranje) na zahtevnejših industrijskih tehnologijah (laser,robot,CNC). Prednost: poznavanje Solidworks-a.", 2 , DLJE ČASA (OBČASNO) , Izmensko, 273055 , začasno in občasno delo
STREŽBA,,"4,50 €/h neto",MARIBOR,Podjetje potrebuje dve polnoletni osebi za pomoč v strežbi. Lokal je odprt med 9.00 in 01.00., 2 , DLJE ČASA (OBČASNO) , Izmensko, 273051 , začasno in občasno delo
MASER,,"5,00 €/h neto",RIMSKE TOPLICE,Podjetje potrebuje več oseb za delo maserja/ke. Pogoj je ustrezna licenca za delo maserja., 5 , DLJE ČASA (OBČASNO) , Izmensko, 273026 , začasno in občasno delo
PRODAJA,PRODAJA KART,"4,50 €/h neto",LJUBLJANA,"Prodaja vstopnic ter kokic in pijače. Pogoji so polnoletnost, zanesljivost, odgovornost. Delo poteka skoraj izključno med vikendi in prazniki ter v popoldanskem času. Zaželen lasten prevoz. Med tednom je urna postavka 5,33 € bruto/h, med vikendi in prazniki pa 6,51 bruto/h (5,5 € neto).", 6 , DLJE ČASA (OBČASNO) , Popoldan, 272534 , začasno in občasno delo
HOSTES/A,LAŽJA FIZIČNA DELA,"4,13 €/h neto",LJUBLJANA BTC,"Trganje kino vstopnic in čiščenje dvoran. Pogoji: polnoletnost, zanesljivost, odgovornost. Delo poteka v popoldanskem času ter skoraj izključno med vikendi in prazniki. Med tednom je urna postavka 4,89 € bruto/h, med vikendi in prazniki pa 5,92 bruto/h (5 € neto). Zaželen lasten prevoz. Prijavo pošlji na e-naslov.", 3 , DLJE ČASA (OBČASNO) , Popoldan, 272533 , začasno in občasno delo
STREŽBA,,"5,92 €/h neto",KRANJSKA GORA,Strežba pijač in napitkov v baru. Pogoj je starost nad 18 let., 3 , PO DOGOVORU , Izmensko, 272420 , začasno in občasno delo
STREŽBA HRANE IN PIJAČE,,"5,50 €/h neto",KOSTANJEVICA NA KRKI,"Podjetje išče kandidate za delo v strežbi. Če imate razvite delovne navade in obilo dobre volje, se veselite novih izzivov, vabljeni, da se jim pridružite in postanete del prijetnega kolektiva. Ob vikendih je urna postavka  8,28 € bruto (7,0 € neto). Za več informacij jih pokličite.", 3 , PO DOGOVORU , Izmensko, 272415 , začasno in občasno delo
VALEJ/VALEJKA,,"4,65 €/h neto",PORTOROŽ,"Potrebujejo polnoletno osebo za pripravo pijače v casinoju. Delo poteka v mladem kolektivu. Možnost daljšega sodelovanja in povišanja urne postavke. Nočno delo 6,5 € bruto. Delo lahko opravljate tudi samo med poletnimi počitnicami.", 2 , DLJE ČASA (OBČASNO) , Izmensko, 272313 , začasno in občasno delo
STREŽBA,,"5,07 €/h neto",PREVORJE,Podjetje išče osebo za strežbo pijače in občasno hrane (hrana samo ob naročilu skupin). Nudijo povračilo potnih stroškov in malice., 1 , PO DOGOVORU , Popoldan, 272007 , začasno in občasno delo
RAČUNALNIŠKE STORITVE,OBLIKOVANJE,PO DOGOVORU,LJUBLJANA,Oblikovanje in dodajanje spletnih vsebin ter potrebne dodelave na strani. Potrebno je znanje spletnega oblikovanja in poznavanja Wordpress okolja. Kandidat/ka mora imeti izkušnje na tem področju (reference)., 1 , DLJE ČASA (OBČASNO) , Dopoldan, 271962 , začasno in občasno delo
STREŽBA,,"4,65 €/h neto",ŠENTJERNEJ,"Strežba v lokalu trgovskega centra poteka po dogovoru: med tednom, ob vikendih. Urnik lokala: od 7.00 do 20.00, v nedeljo do 12.00. Želijo si sodelovanja s prijetnimi, komunikativnimi polnoletnimi osebami, izkušnje niso pogoj. Možnost kasnejše zaposlitve.", 2 , PO DOGOVORU , Po dogovoru, 271775 , začasno in občasno delo
STREŽBA,,"4,13 €/h neto",ZAGORJE PRI PIVKI,"Pomoč v strežbi. Dela se lahko priučite, polnoletnost ni pogoj.", 1 , PO DOGOVORU , Po dogovoru, 271576 , začasno in občasno delo
STREŽBA,,"4,50 €/h neto",KAMNIK - CENTER,Prijeten lokal v centru Kamnika potrebuje polnoletni osebi za delo v strežbi. Zaželene so izkušnje ni pa obvezno. Delovnik je izmenski (po dogovoru)., 2 , DLJE ČASA (OBČASNO) , Izmensko, 271290 , začasno in občasno delo
BLAGAJNIK,,"4,65 €/h neto",LJUBLJANA BTC,"Delo na blagajni. Pogoj je starost nad 18 let. Med tednom in v soboto je urna postavka 5,5 € bruto, v nedeljo pa 6 € bruto.", 1 , DLJE ČASA (OBČASNO) , Izmensko, 271147 , začasno in občasno delo
POMOČ V STREŽBI,,"5,00 €/h neto",LJUBLJANA,"Iščejo prijazno, komunikativno, pošteno, resno in natančno osebo za delo v manjšem caffe baru v Štepanjskem naselju. Delo se izvaja izmensko oziroma bolj v popoldanskem času. Večinoma med vikendom.  Zaželene izkušnje v strežbi.", 2 , DLJE ČASA (OBČASNO) , Po dogovoru, 271075 , začasno in občasno delo
STREŽBA,TOČAJ-KA,PO DOGOVORU,"PODČETRTEK, OLIMJE","Podjetje potrebuje polnoletno, vestno in zanesljivo osebo za strežbo v prestižni restavraciji. Strežba se navezuje izključno na delo v šanku, kot točaj/ka.", 2 , DLJE ČASA (OBČASNO) , Po dogovoru, 270953 , začasno in občasno delo
MENTOR,,PO DOGOVORU,LJUBLJANA,"Izvajanje izobraževalnih aktivnosti za osnovnošolce. Iščejo pedagoge oz. vse, ki imajo izkušnje in jih veseli delo z mladimi. Potrebna/zaželena predznanja: osnove programiranja (npr. Arduino, Python, Scratch ...), osnove elektrike in elektrotehnike (spajkanje), spretnosti pri delu v delavnici z različnimi ročnimi orodji (npr. ročni vrtalnik), veselje do dela z mladimi.", 3 , DLJE ČASA (OBČASNO) , Po dogovoru, 270882 , začasno in občasno delo
TRŽENJE,,"5,07 €/h neto",DOLENJSKA,Promocija in trženje pri vnaprej dogovorjenih strankah. Terensko delo., 12 , PO DOGOVORU , Po dogovoru, 270843 , začasno in občasno delo
TRŽENJE,,"5,07 €/h neto",ŠTAJERSKA,Promocija in trženje pri vnaprej dogovorjenih strankah. Terensko delo., 12 , PO DOGOVORU , Po dogovoru, 270842 , začasno in občasno delo
TRŽENJE,,"5,07 €/h neto",LJUBLJANA Z OKOLICO,Promocija in trženje pri vnaprej dogovorjenih strankah. Terensko delo., 12 , PO DOGOVORU , Dopoldan, 270841 , začasno in občasno delo
TRŽENJE,,"5,07 €/h neto",GORENJSKA,Promocija in trženje pri vnaprej dogovorjenih strankah. Terensko delo., 12 , PO DOGOVORU , Po dogovoru, 270835 , začasno in občasno delo
DELO V IGRALNICI,BILJETER,"4,22 €/h neto",NOVA GORICA,"BILJETER v drive-in igralnici. Evidentiranje gostov, izdaja vstopnic, kontrola. Pogoja sta znanje italijanskega jezika in polnoletnost. Delo poteka vse dni v tednu - popoldan in ponoči. Urna postavka se giblje med od 5 do 5,5 € bruto.", 1 , DLJE ČASA (OBČASNO) , Izmensko, 270054 , začasno in občasno delo
STREŽBA,,"5,00 €/h neto",LJUBLJANA ZALOG,Strežba. Zaželene so delovne izkušnje v šanku. Nedelje so proste. Delo se opravlja v večini v dopoldanskem času. Urna postavka se glede na rezultate dela lahko tudi poveča., 2 , PO DOGOVORU , Izmensko, 269542 , začasno in občasno delo
STREŽBA HRANE IN PIJAČE,,"5,07 €/h neto",PORTOROŽ,"Iščejo resne in samoiniciativne študente/ke za delo na bazenu z željo pridobivanja novih izkušenj v 5* luksuznem hotelu in verigi. Ponujajo redno plačilo, prehrano na delovnem mestu in fleksibilen urnik. Pogoja: polnoletnost in znanje angleškega jezika. Prijaves prejejamajo na email ali na kontaktno številko. Možnost kasnejše redne zaposlitve.", 5 , DLJE ČASA (OBČASNO) , Med vikendom, 269505 , začasno in občasno delo
TELEFONIST,,"4,48 €/h neto",LJUBLJANA ŠIŠKA,"Podjetje išče telefoniste. Delo zajema telekomunikacijo s strankami, vzpostavitev dolgoročnega odnosa s strankami, analizo strankinih potreb, administrativna dela povezana s komunikacijo, priporočilo primernih produktov in sklenitev posla.", 10 , DLJE ČASA (OBČASNO) , Po dogovoru, 269440 , začasno in občasno delo
STREŽBA,,"5,49 €/h neto",LJUBLJANA,Pogoj je starost nad 22 let. Izkušnje so zaželene., 1 , PO DOGOVORU , Po dogovoru, 268927 , začasno in občasno delo
POMOČ V STREŽBI,,"5,00 €/h neto",SEŽANA ALI LOKEV,Pomoč v strežbi v hotelu ali baru. Urnik je po dogovoru. Lokacija dela tudi., 2 , PO DOGOVORU , Po dogovoru, 268874 , začasno in občasno delo
STREŽBA,,"4,22 €/h neto",LJUBLJANA BEŽIGRAD,"Podjetje išče več polnoletnih, urejenih in komunikativnih oseb za delo v strežbi v prijetnem lokalu. Delo poteka med tednom izmensko, občasno tudi ob sobotah, nedelje in prazniki so prosti. Zaželene so izkušnje, niso pa pogoj.", 2 , DLJE ČASA (OBČASNO) , Izmensko, 267886 , začasno in občasno delo
STREŽBA,,"5,20 €/h neto",DOMŽALE,V trendovskem lokalu iščejo osebo za delo v strežbi. Delo lahko poteka tudi čez vikend. Pogoj je starost nad 17 let, 1 , POČITNIŠKO DELO , Izmensko, 267588 , začasno in občasno delo
PRODAJA,,"5,07 €/h neto",VIR,Potrebujejo polnoletno osebo za samostojno delo v trgovini z živili in mešanim blagom. Obvezne  izkušnje z delom v živilski trgovini., 1 , DLJE ČASA (OBČASNO) , Po dogovoru, 267158 , začasno in občasno delo
DELO NA TERENU,,"6,00 €/h neto",KRANJ Z OKOLICO,Iščejo več  oseb za postavljanje koncertnih odrov in konstrukcij ter razna dela na sedežu podjetja. Delo poteka tudi med vikendi in v nočnem času. Prednost imajo kandidati z vozniškim dovoljenje B ali B+E kategorije. Interesenti naj pokličejo ali pošljejo vlogo na kontakt podjetja., 4 , DLJE ČASA (OBČASNO) , Po dogovoru, 267047 , začasno in občasno delo
STREŽBA,,"6,00 €/h neto",DOMŽALE,"Lokal išče simpatične in komunikativne osebe za delo v strežbi. Pogoj je starost nad 18 let. Plačilo je od 6 do 7,10 €/h bruto.", 2 , DLJE ČASA (OBČASNO)-PRILAGODLJIV URNIK , Po dogovoru, 266854 , začasno in občasno delo
PRODAJA,,"4,22 €/h neto",MARIBOR CENTER,"Podjetje potrebuje polnoletno, vestno, zanesljivo in komunikativno osebo za prodajo v pekarni. Delo je izmensko in poteka po dogovoru. Vloge pričakujejo na e-mail podjetja.", 1 , DLJE ČASA (OBČASNO) , Izmensko, 266617 , začasno in občasno delo
POMOČ V KUHINJI,DELO V SLAŠČIČARNI,PO DOGOVORU,PORTOROŽ,Potrebujejo resnega/-no študenta/-ko za pomoč v slaščičarni. Pogoj je starost nad 18 let. Znanje angleškega jezika je zaželeno. Nudijo redno izplačilo in možnost dolgoročnega sodelovanja/zaposlitve. Prijave sprejemajo na e-mail., 1 , DLJE ČASA (OBČASNO) , Izmensko, 266415 , začasno in občasno delo
STREŽBA,,"4,50 €/h neto",LJUBNO,Iščejo osebo za strežbo v manjšem lokalu. Delo poteka ob sobotah in nedeljah v popoldanskem času., 2 , DLJE ČASA (OBČASNO) , Med vikendom, 266408 , začasno in občasno delo
STREŽBA,,"4,22 €/h neto",IG,Iščejo pomoč v strežbi v manjšem mirnem lokalu., 1 , DLJE ČASA (OBČASNO) , Popoldan, 266167 , začasno in občasno delo
STREŽBA,,"5,00 €/h neto",LJUBLJANA - BEŽIGRAD,Podjetje išče osebi za delo strežbe v popoldanskem času. Možnost povišanja urne postavke (glede na promet). Nedelje in prazniki so dela prosti.l, 2 , DLJE ČASA (OBČASNO) , Popoldan, 265623 , začasno in občasno delo
STREŽBA,,"4,13 €/h neto",CELJE,"Iščejo odgovorne, komunikativne, nasmejane in novih znanj željne študente/ke za delo v mladi ekipi kavarne v središču Celja. Nudijo stimulativno plačilo. Iščejo osebe za dlje časa.", 2 , DLJE ČASA (OBČASNO) , Izmensko, 265180 , začasno in občasno delo
PROMOCIJA,,"5,49 €/h neto",KRANJ,"Podjetje išče zanesljive, delavne, komunikativne študente, ki bi jih zanimalo izvajanje promocij in degustacij. Izkušnje so zaželene. Prijave sprejemajo na elektronski naslov, kratek opis.", 15 , DLJE ČASA (OBČASNO) , Po dogovoru, 264763 , začasno in občasno delo
PROMOCIJA,,"5,49 €/h neto",CELJE,"Podjetje išče zanesljive, delavne, komunikativne študente, ki bi jih zanimalo izvajanje promocij in degustacij. Izkušnje so zaželene. Prijave sprejemajo na elektronski naslov, kratek opis.", 15 , DLJE ČASA (OBČASNO) , Po dogovoru, 264761 , začasno in občasno delo
PROMOCIJA,,"5,49 €/h neto",KOPER,Potrebujejo osebe za delo promocij in degustacij za več različnih naročnikov. Izkušnje so zaželene. Prijave sprejemajo na elektronski naslov., 15 , DLJE ČASA (OBČASNO) , Po dogovoru, 264760 , začasno in občasno delo
HOSTES/A,,"5,49 €/h neto",LJUBLJANA,"Podjetje išče komunikativne, vestne in zanesljive osebe za izvajanje hostesinih del v najboljši marketinški agenciji leta. Dela se na zanimivih dogodkih. Zaželene so izkušnje. Pričetek dela takoj. Prijave sprejemajo na elektronski naslov, kratek opis.", 15 , DLJE ČASA (OBČASNO) , Po dogovoru, 264759 , začasno in občasno delo
STREŽBA,,"4,65 €/h neto",KRANJ,"Pogoj je starost nad 18 let. Pogoji: natančnost, marljivost in urejenost. Zaželene so izkušnje, niso pa pogoj. Vloge pošljite na e-mail.", 2 , DLJE ČASA (OBČASNO) , Izmensko, 264707 , začasno in občasno delo
STREŽBA,,"5,00 €/h neto",VELIKA RAČNA 24 B,, 2 , PO DOGOVORU , Po dogovoru, 264517 , začasno in občasno delo
STREŽBA,,"4,22 €/h neto",KRIŽE,Podjetje išče polnoletno osebo za delo v strežbi. Zaželene izkušnje v strežbi in minimalno znanje angleškega jezika., 1 , DLJE ČASA (OBČASNO) , Po dogovoru, 264217 , začasno in občasno delo
STREŽBA,,"6,00 €/h neto",RADOMLJE,"Potrebujejo kandidata za strežbo v majhnem, prijetnem lokalu. Zaželene so izkušnje s tovrstnim delom, starost nad 18 let. Plačilo je redno.", 1 , DLJE ČASA (OBČASNO) , Izmensko, 264090 , začasno in občasno delo
POMOČ PRI PRODAJI,DELO V TRGOVINI,"5,07 €/h neto",RADOVLJICA,"Podjetje išče več polnoletnih oseb za delo v trgovini (blagajna in polnjenje polic). Nedeljska urna postavka je 7,20 € bruto.", 2 , DLJE ČASA (OBČASNO) , Po dogovoru, 264047 , začasno in občasno delo
STREŽBA,,"4,50 €/h neto",LJUBLJANA,Podjetje išče osebi za delo v strežbi. Izkušnje so pogoj., 2 , DLJE ČASA (OBČASNO) , Izmensko, 263959 , začasno in občasno delo
RAZVOZ,,"4,23 €/h neto",ZAGORJE,Potrebujejo polnoletno osebo za razvoz pizz. Pogoj: vozniški izpit., 1 , PO DOGOVORU , Izmensko, 263681 , začasno in občasno delo
STREŽBA,,"4,65 €/h neto",MISLINJA,Iščejo dve komunikativni osebi za strežbo. Zaželene so izkušnje v strežbi., 2 , DLJE ČASA (OBČASNO) , Po dogovoru, 263636 , začasno in občasno delo
STREŽBA,,"4,13 €/h neto",MARINČA VAS,"Iščejo komunikativno oseba z veseljem do dela v prijetnem gostišču. Fleksibilen delovnik. Izkušnje niso pogoj, so pa zaželene. Za več informacij pokliči.", 2 , DLJE ČASA (OBČASNO) , Popoldan, 263457 , začasno in občasno delo
DELO NA RECEPCIJI,,"6,00 €/h neto",BLED,"Delo na recepciji manjšega hotela (9 sob). Dela se v popoldanskem času, od 15. ure dalje. Poleg dela na recepciji (sprejem gostov ipd), delo zajema tudi občasno postrežbo pijače in sladic hotelskim gostom. Pogoj: polnoletnost. Zaželene so izkušnje.", 1 , DLJE ČASA (OBČASNO) , Med vikendom, 263307 , začasno in občasno delo
STREŽBA,,"5,00 €/h neto",LJUBLJANA BTC,Pogoj je starost nad 18 let. Zaželene so izkušnje v strežbi., 2 , DLJE ČASA (OBČASNO) , Izmensko, 263078 , začasno in občasno delo
