naslov,lokacija,stevilo_mest,delovnik,narava_dela,sifra,trajanje,naslov,podnaslov,opis,placa 
BLAGAJNIK,LJUBLJANA, 1 , Izmensko, začasno in občasno delo, 292298 , PO DOGOVORU ,BLAGAJNIK,,"Podjetje išče polnoletne študente/ke za delo na blagajni. Za nedeljsko delo je urna postavka 8,00 € bruto/h.","5,07 €/h neto"
BLAGAJNIK,LJUBLJANA, 2 , Izmensko, začasno in občasno delo, 292277 , PO DOGOVORU ,BLAGAJNIK,,"Podjetje išče polnoletne študente/ke za delo na blagajni. Za nedeljsko delo je urna postavka 8,00 € bruto/h.","5,07 €/h neto"
BLAGAJNIK,LJUBLJANA, 2 , Izmensko, začasno in občasno delo, 292275 , PO DOGOVORU ,BLAGAJNIK,,Podjetje išče polnoletne kandidate za izmensko delo na blagajni.,"4,23 €/h neto"
BLAGAJNIK,VEVČE, 1 , Izmensko, začasno in občasno delo, 292273 , PO DOGOVORU ,BLAGAJNIK,,"Podjetje išče polnoletne osebe za delo na blagajni. Delo je izmensko, delovni so tudi vikendi. Za delo ob nedeljah je urna postavka 8,00 € bruto/h.","5,07 €/h neto"
BLAGAJNIK,GROSUPLJE, 1 , Izmensko, začasno in občasno delo, 292272 , PO DOGOVORU ,BLAGAJNIK,,Podjetje išče polnoletne osebe za delo na blagajni v tegovini. Delovnik je izmenski.,"4,23 €/h neto"
BLAGAJNIK,LJUBLJANA, 1 , Izmensko, začasno in občasno delo, 292271 , PO DOGOVORU ,BLAGAJNIK,,"Podjetje išče polnoletne študente/ke za delo na blagajni. Za nedeljsko delo je urna postavka 8,00 € bruto/h.","5,07 €/h neto"
BLAGAJNIK,ČRNUČE, 2 , Izmensko, začasno in občasno delo, 292270 , PO DOGOVORU ,BLAGAJNIK,,"Podjetje išče polnoletne študente/ke za delo na blagajni. Za nedeljsko delo je urna postavka 8,00 € bruto/h.","5,07 €/h neto"
STREŽBA HRANE IN PIJAČE,DOBRUŠKA VAS, 5 , Izmensko, začasno in občasno delo, 292264 , DLJE ČASA (OBČASNO) ,STREŽBA HRANE IN PIJAČE,,Iščejo odgovorne in zanesljive ter polnoletne osebe za delo v strežbi. Izkušnje so zaželene.,"5,50 €/h neto"
STREŽBA,ZGORNJA KUNGOTA, 1 , Po dogovoru, začasno in občasno delo, 292256 , DLJE ČASA (OBČASNO) ,STREŽBA,STREŽBA-PRODAJA,"Podjetje išče osebo za strežbo v baru in občasno pomoč pri prodaji v butiku.  Zaželeno je, da je oseba poštena in prijazna. Urna postavka se kasneje lahko zviša na 6 € bruto.","4,22 €/h neto"
DELO NA TERENU,MARIBOR - SAVINJSKA REGIJA, 1 , Po dogovoru, začasno in občasno delo, 292234 , DLJE ČASA (OBČASNO) ,DELO NA TERENU,DOSTAVA,"Dostava zelenjave po terenu. Dela se ponoči, s pričetkom ob 2. uri zjutraj. Ob nedeljah se ne dela. Pogoja sta starost nad 18 let in vozniški izpit.","5,00 €/h neto"
STREŽBA,LJUBLJANA IG, 1 , Med vikendom, začasno in občasno delo, 292232 , DLJE ČASA (OBČASNO) ,STREŽBA,,"Zaželjene izklušnje, prijaznost in urejenost.","5,00 €/h neto"
STREŽBA,LJUBLJANA - ŠENTVID, 3 , Izmensko, začasno in občasno delo, 292228 , DLJE ČASA (OBČASNO) ,STREŽBA,,"Iščejo študente/ke za delo v baru, kjer se družijo športniki po končanem treningu. Če se rad/a med delom zabavaš in smeješ, je to pravo delo zate. Pridruži se njihovi ekipi.","5,32 €/h neto"
DELO V KUHINJI,POSTOJNA, 3 , Po dogovoru, začasno in občasno delo, 292146 , PO DOGOVORU ,DELO V KUHINJI,,"Iščejo več polnoletnih oseb za pomoč v kuhinji - pomivanje posode, predpriprava hrane... Navedena urna postavka velja med tednom, ob vikendih je urna postavka 5,7 € bruto. Za prijavo pokliči.","4,14 €/h neto"
STREŽBA,MARIBOR, 2 , Izmensko, začasno in občasno delo, 292132 , DLJE ČASA (OBČASNO) ,STREŽBA,,Podjetje potrebuje dve osebi za pomoč v strežbi. Napitnina je vaša. Pogoj je starost nad 18 let. Zaželene izkušnje v strežbi.,"5,07 €/h neto"
STREŽBA,MEJNI PREHOD SEČOVLJE, 2 , Po dogovoru, začasno in občasno delo, 292105 ," OBČASNO, MOŽNOST DOLGOROČNEGA SODELOVANJA ",STREŽBA,NATAKAR/ NATAKARICA,"Iščejo resne študentke in študente za delo v restavraciji hotela na mejnem prehodu Sečovlje. Zaželene so izkušnje in znanje italjanskega jezika. Redno plačilo, topli obrok in stimulacija. Prijave pošljite na e-mail naslov ali se zglasite osebno na recepcijo hotela. Za dodatne informacije lahko pokličete na tel. številko.","7,00 €/h neto"
STREŽBA,VELIKE LAŠČE, 3 , Popoldan, začasno in občasno delo, 292088 , PO DOGOVORU ,STREŽBA,,"Strežba in urejanje rezervacij za tenis.

Delo je popoldan.","5,00 €/h neto"
STREŽBA HRANE IN PIJAČE,PORTOROŽ, 2 , Izmensko, začasno in občasno delo, 292085 , DLJE ČASA (OBČASNO) ,STREŽBA HRANE IN PIJAČE,,"Strežba hrane in pijače v modernem lokalu na Bernardinu. Začetna urna postavka je 5,00 neto, z izkušnjami in zagnanostjo se lahko urna postavka dvigne na 6,00 neto (7,10 € bruto).   Urnik je po dogovoru.  Delovne izkušnje so pogoj. Za prijavo pošlji SMS.","5,00 €/h neto"
STREŽBA,KAMNIK, 1 , Po dogovoru, začasno in občasno delo, 292069 , DLJE ČASA (OBČASNO) ,STREŽBA,,"Podjete išče polnoletno osebo za delo v lokalu. Pogoji: prijaznost, komunikativnost. Plačilo do 7,69 € bruto/h.","5,00 €/h neto"
PROJEKTIRANJE,CELJE Z OKOLICO, 1 , Dopoldan, začasno in občasno delo, 292028 ," PO DOGOVORU, DLJE ČASA ",PROJEKTIRANJE,,Za delo v projektni pisarni iščejo študenta/ko višjega letnika ali absolventa/ko gradbene smeri. Delo se opravlja v pisarni in na terenu. Pogoji: starost nad 21 let ter znanje programov Autocad in Microsoft Office. Zaželene so izkušnje s projektiranjem in izdelavo načrtov. Prijave sprejemajo na e-mail.,PO PROJEKTU
DELO S STRANKAMI,LJUBLJANA BTC, 5 , Izmensko, začasno in občasno delo, 291955 , MINIMALNO ZA 6 MESECEV ,DELO S STRANKAMI,,"Delo s strankami v ekipi, zato so zaželene komunikacijske veščine, pozitivna naravnanost in volja do dela. Dobro opravljeno delo denarno nagradijo. Urnik je po dogovoru.","4,73 €/h neto"
STREŽBA HRANE IN PIJAČE,LJUBLJANA ČOPOVA, 20 , Po dogovoru, začasno in občasno delo, 291954 , DLJE ČASA (OBČASNO) ,STREŽBA HRANE IN PIJAČE,POMOČ V KUHINJI,"Iščejo pridne, zanesljive in samoiniciativne študente in dijake, ki so pripravljeni na dolgoročno sodelovanje - strežba hrane in pijače ali pomoč v kuhinji. Nudijo redno plačilo 5,6 do 7,2 €/h bruto in fleksibilen urnik (delo lahko prilagodiš šolskim obveznostim).","4,73 €/h neto"
STREŽBA,KRŠKO, 1 , Dopoldan, začasno in občasno delo, 291948 , PO DOGOVORU ,STREŽBA,,V prijetnem lokalu s pekarnico potrebujejo polnoletno osebo za delo v strežbi.,"5,00 €/h neto"
RAZVOZ,NOVO MESTO, 4 , Po dogovoru, začasno in občasno delo, 291937 , DLJE ČASA (OBČASNO) ,RAZVOZ,,Ekipa išče nove okrepitve za razvoz hrane. Pogoj: vozniške izkušnje. Delo poteka po dogovoru. Kontakt po telefonu ali osebno na objavljenem naslovu.,"4,50 €/h neto"
FIZIČNA DELA,LJUBLJANA, 2 , Izmensko, začasno in občasno delo, 291932 , 6-9 MESECEV (OBČASNO) ,FIZIČNA DELA,,"Pomoč pri izvedbi scensko odrskih del, pomoč pri tehnični izvedbi del ter priprava in uporaba scenske opreme in pripomočkov za izvedbo dogodka, razkladanje, nakladanje in postavljanje scenske in druge opreme na prizorišču, pomoč pri pripravljanju potrebnih naprav in pripomočkov skladno z zahtevami, dosledno upoštevanje predpisov varstva pri delu in varstva pred požarom.","4,82 €/h neto"
STREŽBA,LJUBLJANA - RUDNIK, 1 , Popoldan, začasno in občasno delo, 291923 ," PO DOGOVORU, OBČASNO ",STREŽBA,,Iščejo študenta/ko za delo v strežbi. Pogoj so izkušnje.,"5,07 €/h neto"
POMOČ V STREŽBI,MARIBOR, 2 , Izmensko, začasno in občasno delo, 291919 , DLJE ČASA ,POMOČ V STREŽBI,,"Potrebujejo študenta ali študentko za pomoč v strežbi (prodaja na rajonu). Zaželena simpatičnost, resnost in komunikativnost ter vsaj nekaj izkuženj.","5,00 €/h neto"
STREŽBA,HOČE, 2 , Izmensko, začasno in občasno delo, 291852 , DLJE ČASA (OBČASNO) ,STREŽBA,,Podjetje potrebuje dve polnoletni osebi za strežbo. Poleg urne postavke vam pripada tudi napitnina.,"4,22 €/h neto"
STREŽBA,CELJE, 1 , Izmensko, začasno in občasno delo, 291835 , DLJE ČASA (OBČASNO) ,STREŽBA,,Iščejo študenta za delo v strežbi. Zaželeno je znanje tujega jezika.,"5,00 €/h neto"
STREŽBA,SLOVENSKA BISTRICA, 2 , Izmensko, začasno in občasno delo, 291827 , PO DOGOVORU ,STREŽBA,,Za delo v lokalu iščejo simpatični osebi. Lokal se nahaja v industrijski coni v Slovenski Bistrici.,"5,00 €/h neto"
STREŽBA,SLOVENSKA BISTRICA, 2 , Izmensko, začasno in občasno delo, 291825 , PO DOGOVORU ,STREŽBA,,"Potrebujejo dve osebi za strežbo v dnevnem lokalu v Slovenski Bistrici. Nudijo plačilo: fiksni del + stimulacija + napitnina. Zaželena dobra volja, komunikativnost in veselje do dela. Pričetek dela je takoj.","5,00 €/h neto"
UREJANJE OKOLICE,LJUBLJANA Z OKOLICO, 2 , Dopoldan, začasno in občasno delo, 291796 , DLJE ČASA (OBČASNO) ,UREJANJE OKOLICE,,"Podjetje potrebuje več oseb za urejanje okolice, košnjo trave, delo z orodjem, potreben izpit B kategorije (ne mladi voznik).","5,07 €/h neto"
STREŽBA,VISOKO, 2 , Izmensko, začasno in občasno delo, 291791 , DLJE ČASA (OBČASNO) ,STREŽBA,,"Strežba v manjšem lokalu. Pogoj je polnoletnost, izkušnje niso obvezne.","4,70 €/h neto"
DELO V PROIZVODNJI,LAŠKO, 4 , Izmensko, začasno in občasno delo, 291749 , DLJE ČASA (OBČASNO) ,DELO V PROIZVODNJI,,Podjetje potrebuje polnoletne kandidate za delo v proizvodnji. Pogoj: natančnost. Za nočno delo je postavka višja za 30%.,"4,13 €/h neto"
STREŽBA,LJUBLJANA, 5 , Izmensko, začasno in občasno delo, 291741 , DLJE ČASA (OBČASNO) ,STREŽBA,,"Delo v ugledni kavarni in slaščičarni. Pogoji: izkušnje v strežbi, veselje do dela z gosti in nasmeh. Kandidat/ka bo deležen/na tudi učenja strežbe, pravega načina kuhanja kave, ostalih napitkov in spoznavanja super sladic. Urna postavka je od 5 do 8 € bruto (od 4,22 do 6,76 € neto).","4,22 €/h neto"
POMOČ PRI PRODAJI,LUCIJA, 1 , Izmensko, začasno in občasno delo, 291733 , PO DOGOVORU ,POMOČ PRI PRODAJI,,"Podjetje išče kandidata za pomoč pri prodaji. Pogoj je starost nad 18 let. Urna postavka za delo ob nedeljah je 8,28 € bruto, za delo od ponedeljka do sobote pa 5,5 € bruto.","4,65 €/h neto"
ADMINISTRATIVNA DELA,PO DOGOVORU, 1 , Po dogovoru, začasno in občasno delo, 291731 , DLJE ČASA (OBČASNO) ,ADMINISTRATIVNA DELA,,"Spletna trgovina išče zanesljivega študenta/ko z odličnim poznavanjem madžarskega jezika. Ponujajo možnost dela na madžarski spletni trgovini (support emaili/telefon, razvoj, kontaktiranje medijev, sestanki, socialni mediji) ter kasneje celo možnost redne zaposlitve. Znanje jezika se bo preverjalo. Za prijavo pošljite motivacijsko pismo in CV na email.","5,00 €/h neto"
POMOČ PRI PRODAJI,KOPER, 1 , Izmensko, začasno in občasno delo, 291727 , PO DOGOVORU ,POMOČ PRI PRODAJI,,"Podjetje išče kandidata za pomoč pri prodaji. Pogoj je starost nad 18 let. Urna postavka za delo ob nedeljah je 8,28 € bruto, za delo od ponedeljka do sobote pa 5,5 € bruto.","4,65 €/h neto"
DELO V KUHINJI,TRZIN, 2 , Izmensko, začasno in občasno delo, 291593 , DLJE ČASA (OBČASNO) ,DELO V KUHINJI,,"V pubu iščejo resne, zanesljive, prijazne in komunikativne študente za delo v kuhinji. Če te delo zanima  ne odlašaj in jim piši na e-mail ali pokliči.","5,92 €/h neto"
POMOČ PRI PRODAJI,LJUBLJANA RUDNIK, 4 , Izmensko, začasno in občasno delo, 291573 , DLJE ČASA (OBČASNO) ,POMOČ PRI PRODAJI,,Podjetje potrebuje polnoletne osebe za pomoč pri prodaji v pekarni v trgovskem centru. Delo se bo opravljalo tudi v poletnih mesecih.,"5,00 €/h neto"
PISMONOŠA,"POSTOJNA, SEŽANA, PIVKA, ILIRSKA BISTRICA", 3 , Izmensko, začasno in občasno delo, 291569 , PO DOGOVORU ,PISMONOŠA,,"Dostava pošiljk - pismonoša. Delovnik predvsem zjutraj (možen tudi kombiniran delovnik). Pogoj: polnoletnost, zaželen  izpit B kategorije.","5,07 €/h neto"
STREŽBA,"ŠENTJUR, CELJE, LAŠKO", 3 , Izmensko, začasno in občasno delo, 291500 ," DLJE ČASA (OBČASNO), PO POTREBI IN DOGO ",STREŽBA,,"Podjetje potrebuje polnoletne, komunikativne, vestne in zanesljive osebe za delo in pomoč v strežbi. Delovnik poteka v dopoldanskem in popoldanskem času, oz. po dogovoru in potrebi. Strežba poteka v Celju, Laškem in Šentjurju, po želji člana. Ob določeni urni postavki nudijo tudi stimulacijo. Interesenti naj pokličejo na kontakt podjetja.","4,13 €/h neto"
INŠTRUKCIJE,KRANJ, 1 , Po dogovoru, začasno in občasno delo, 291477 , DLJE ČASA (OBČASNO) ,INŠTRUKCIJE,,Podjetje išče inštruktorja/ico NEMŠČINE. Nudijo prilagodljiv delovni čas in možnost brezplačnih izobraževanj. Prijave sprejemajo preko spletne strani navedene v podrobnostih oglasa.,"7,61 €/h neto"
STREŽBA HRANE IN PIJAČE,LJUBLJANA, 2 , Po dogovoru, začasno in občasno delo, 291466 , DLJE ČASA (OBČASNO) ,STREŽBA HRANE IN PIJAČE,,Iščejo polnoletno osebo za občasno pomoč pri strežbi hrane in pijače v piceriji. Pogoj so izkušnje s strežbo hrane.,"6,00 €/h neto"
PROGRAMIRANJE,LJUBLJANA RUDNIK, 2 , Dopoldan, začasno in občasno delo, 291442 , DLJE ČASA (OBČASNO) ,PROGRAMIRANJE,GRAFIČNO OBLIKOVANJE,"Podjetje v svoje vrste vabi novega člana za področje spletnega programiranja na frontendu. Zaželene so izkušnje s področja oblikovanja in izdelave spletnih mest. Zahtevana znanja: Adobe orodja (predvsem Photoshop), HTML/AJAX/CSS/JS, osnovno poznavanje PHP-ja in sposobnost dobrega načrtovanja vsebin. Od kandidata pričakujejo komunikativnost, razgledanost in poznavanje trendov na področju spletnega oblikovanja in uporabniške izkušnje. Prijave in CV sprejemajo na e-mail in na spletnem obrazcu.",PO DOGOVORU
STREŽBA,LJUBLJANA DOBRUNJE, 3 , Izmensko, začasno in občasno delo, 291437 , DLJE ČASA (OBČASNO) ,STREŽBA,,Potrebujejo polnoletno osebo za delo v strežbi. Delo poteka med tednom in med vikendi. Izkušnje niso pogoj.,"5,92 €/h neto"
STREŽBA,LOGATEC, 3 , Izmensko, začasno in občasno delo, 291431 , DLJE ČASA (OBČASNO) ,STREŽBA,,"Strežba v kavarni. Zaželene izkušnje, kar pa nikakor ni pogoj, saj naučijo dela vsakega posameznika. Potrebna pa je komunikativnost, poštenost in urejenost.","5,50 €/h neto"
TELEFONSKI MARKETING,LJUBLJANA, 3 , Dopoldan, začasno in občasno delo, 291430 , DLJE ČASA (OBČASNO) ,TELEFONSKI MARKETING,,"Klicanje obstoječih strank in podaljševanje pogodbenih razmerij. Zahtevane izkušnje: odlične prodajne veščine, komunikativnost, sposobnost hitrega učenja, odgovornost in vestnost pri delu, prilagodljivost Nudijo možnost redne zaposlitve za nedoločen čas.","7,00 €/h neto"
MONTAŽA,ZAGRADEC PRI GROSUPLJU, 1 , Dopoldan, začasno in občasno delo, 291377 , PO DOGOVORU ,MONTAŽA,,Montaža gostinske opreme. Zaželena izobrazba strojne smeri. Pogoj: vozniški izpit.,"6,00 €/h neto"
DELO V PROIZVODNJI,ZAGRADEC PRI GROSUPLJU, 1 , Po dogovoru, začasno in občasno delo, 291375 , PO DOGOVORU ,DELO V PROIZVODNJI,,"Delo v proizvodnji gostinske opreme, Delo poteka v dopoldanskem času, vikendi so prosti.","5,00 €/h neto"
PARKIRANJE VOZIL,KOPER, 5 , Po dogovoru, začasno in občasno delo, 291369 , DLJE ČASA (OBČASNO) ,PARKIRANJE VOZIL,,"Podjetje išče več oseb za pretovarjanje vozil v Luki Koper. Pogoji: starost nad 18 let, izpit B kategorije, nekaznovanost. Urnik je prilagodljiv. Plačilo znaša od 4,97 do 8,40 €/h bruto. Možnost napredovanja.","4,20 €/h neto"
FIZIČNA DELA,ŠKOFJA LOKA - PO TERENU, 1 , Dopoldan, začasno in občasno delo, 291303 , DLJE ČASA (OBČASNO) ,FIZIČNA DELA,GRADBENA DELA,"Opis del in nalog: montaža stavbnega pohištva, pripravljanje materiala in orodij za montažo, priprava gradbišča oz. kraja montaže, transportna dela (prevozi, skladiščenje, zaščita materialov oz. izdelkov). Pogoji:  vozniški izpit B kategorije, sposobnost za delo na višini, zanesljivost, odgovornost, točnost, natančnost,vztrajnost in volja do dela.","5,07 €/h neto"
TRŽENJE,LJUBLJANA, 1 , Izmensko, začasno in občasno delo, 291294 , DLJE ČASA (OBČASNO) ,TRŽENJE,,"Iščejo študenta za prestavitev evropskega računalniškega spričevala (ECDL) po srednjih šolah in fakultetah.  Pogoj: nad 20 let, prijaznost, komunikativnost.",PO DOGOVORU
STREŽBA,KAMNIK, 1 , Po dogovoru, začasno in občasno delo, 291284 , DLJE ČASA (OBČASNO) ,STREŽBA,,"Prijeten in domačen pub z dolgoletno tradicijo v ekipo vabi prijazne, delavne in zanesljive osebe. Fleksibilen delovnik je možno prilagajati šolskim obveznostim. Predhodne izkušnje so zaželene, niso pa pogoj pri izbiri kandidatov. Pomembno je veselje do dela. Kolektiv se nenehno izobražuje in usposablja. Obljubljajo dober odnos do zaposlenih, redno plačilo, nagrade za pridnost, uvajanje in izobraževanje (4,89 €/h bruto). Možnost redne zaposlitve.","5,50 €/h neto"
STREŽBA,LJUBLJANA ŠIŠKA, 2 , Izmensko, začasno in občasno delo, 291277 , DLJE ČASA (OBČASNO) ,STREŽBA,,Iščejo študenta/ki za delo v kavarni in slaščičarni. Izkušnje so obvezne.,"5,07 €/h neto"
DELO NA RECEPCIJI,SEŽANA, 1 , Po dogovoru, začasno in občasno delo, 291262 , PO DOGOVORU ,DELO NA RECEPCIJI,,Nočni receptor v hotelu. Pogoj: polnoletnost. Možnost kasnejše zaposlitve. Potni stroški so stvar dogovora.,"5,00 €/h neto"
ARHEOLOŠKA IZKOPAVANJA,ČRNI KAL, 3 , Dopoldan, začasno in občasno delo, 291256 , PO DOGOVORU ,ARHEOLOŠKA IZKOPAVANJA,,"Pomoč pri arheoloških delih na terenu. Pogoji: primerna obleka in obutev. Pokliči med delavniki od 8. do 16. ure. Vljudno prosi, da ga pozneje in med vikendi ne kličete.","4,13 €/h neto"
STREŽBA,KOPER, 2 , Po dogovoru, začasno in občasno delo, 291245 , DLJE ČASA (OBČASNO) ,STREŽBA,,"Podjetje išče osebe za strežbo. Pogoj je starost nad 18 let. Plačilo 5,33 - 7,10 €/h bruto. Podjetje nudi tedenska plačila. Lahko se dela tudi samo med vikendi.","4,50 €/h neto"
STREŽBA,ZAGORJE, 1 , Izmensko, začasno in občasno delo, 291230 , DLJE ČASA (OBČASNO) ,STREŽBA,,Podjetje išče osebo za samostojno delo v strežbi. Pogoj je starost nad 18 let in izkušnje.,"5,00 €/h neto"
DELO V TURIZMU,LJUBLJANA, 3 , Po dogovoru, začasno in občasno delo, 291216 , PO DOGOVORU ,DELO V TURIZMU,PROMOCIJA,"Za promocijo rečne plovbe po Ljubljanici potrebujejo komunikativno in prodajno naravnano osebo, ki ima rada delo z ljudmi (domačimi in tujimi gosti). Obvezno znanje angleškega jezika, zaželeno tudi italjanskega ali drugih jezikov. Urnik je o dogovoru. Prijave sprejemajo na elektronski naslov ali preko telefona.","6,00 €/h neto"
ANIMATOR,LJUBLJANA, 2 , Med vikendom, začasno in občasno delo, 291183 , DLJE ČASA (OBČASNO) ,ANIMATOR,VODNIK,"Turistično podjetje išče italijansko govoreče študente/ke za izvajanje večernih tur ogleda nočnega življenja v prestolnici. Zadostuje tudi pogovorna raven sporazumevanja v italijanščini. Pogoji: starost nad 18 let, komunikativnost in veselje do spoznavanja novih ljudi. Izkušnje niso obvezne, vsega te naučijo v podjetju.","7,50 €/h neto"
PROMOCIJA,LJUBLJANA IN PO TERENU, 2 , Po dogovoru, začasno in občasno delo, 291180 , DLJE ČASA (OBČASNO) ,PROMOCIJA,DELO NA TERENU,"Promocija in izpolnjevanje nagradnih letakov. Pogoji: starost nad 18 let, komunikativnost, simpatičnost, energičnost in urejenost. Izkušnje so zaželene. Poleg urne postavke ob dobrem delu podjetje plača tudi stimulacijo.","6,00 €/h neto"
STREŽBA,GROSUPLJE, 3 , Izmensko, začasno in občasno delo, 291146 , PO DOGOVORU ,STREŽBA,,"Podjetje potrebuje komunikativno osebo za strežbo pijače. Izkušnje niso potrebne. Pogoj za delo je polnoletnost. Prednost imajo študentje, ki bi delali med vikendi in med tednom tudi v času študija.","5,50 €/h neto"
STREŽBA,IOC TRZIN, 3 , Izmensko, začasno in občasno delo, 291140 , DLJE ČASA ,STREŽBA,,"V pubu iščejo resne, zanesljive, prijazne in komunikativne študente za delo v strežbi. Če te delo zanima  ne odlašaj in jim piši na e-mail ali pokliči.","6,76 €/h neto"
STREŽBA,DOB PRI DOMŽALAH, 1 , Med vikendom, začasno in občasno delo, 291137 , DLJE ČASA (OBČASNO) ,STREŽBA,,Picerija išče energične polnoletne osebe za pomoč v strežbi. Izkušnje zaželene.,"5,50 €/h neto"
STREŽBA,LJUBLJANA Z OKOLICO, 5 , Po dogovoru, začasno in občasno delo, 291126 , DLJE ČASA (OBČASNO) ,STREŽBA,,Vodilno podjetje na področju cateringa in gostinske dejavnosti na slovenskem tržišču išče več polnoletnih osebo za pomoč v strežbi. Potrebujejo pridne posameznike za delo v zanesljivem in referenčem podjetju. Pri dosegu norme se urna postavka  zviša na 7 €/bruto.  Prijavo pošlji na e-mail.,"5,07 €/h neto"
